Request,Priority,"Submitted by",Comments,Assignee,Status,Completed,"Due Date",Description,Attachments,"Loblaw PM Owner",Scope,"Design effort",State
"Planning and prevention",,U08TNKBEB7W,,,Backlog,false,,"*Initial description:* Guides screenings, vaccines, and lifestyle measures aligned to Canadian programs, and translates evidence into practical weekly playbooks or habit plans. For example, someone may ask when colorectal screening should begin in Alberta or how to create a 12-week walk–run plan.

*User & moment*
• Generally healthy adult being proactive
• Turning 40 / new life stage
• Family history triggers concern
• Managing a chronic condition towards a specific health goal
*User goal in their words*
• I want to know what matters most for staying healthy without being overwhelmed
• I want to know which vaccines I’m eligible for and when (and how much they cost, where/how to book)
• I want to know which screenings I should get and when (and how much they cost, where/how to book)
• I want to know if there’s anything important I should be doing at my age or life stage
• I want to know what patterns and behaviours matter most to succeed with my treatment or health goal
*System job*
• Identify prevention actions that apply to this person
• Prioritize what matters now vs later
• Explain why recommendations apply to this person
• Translate guidance into clear, manageable next steps
• Highlight when followup with a clinician or program provider is recommended
• Provide practical guidance that supports success without requiring ongoing tracking
*Happy path*
• Clarify minimal personal context
• Identify relevant prevention categories
• Prioritize top actions
• Explain why these matter
• Provide clear next steps
*Decision point*
• User has a clear short-term view of what to do next
• User feels confident they’re not missing anything urgent
*Trust requirements*
• Guidance feels personalized, not generic
• Not overwhelming
• Clear rationale for recommendations
• Calm, non-alarmist tone
• Clear boundaries on what this does and doesn’t replace (e.g. clinician advice)
*Explicit non-goals (MVP)*
• Not a full care plan
• Tracking, optimization, accountability
• No diagnosis
• No real-time coaching
• No custom meal plans
",,U0A93SM3BPE,v1.1,,
"NUX - Education components",Low,U08TNKBEB7W,,,"Parking Lot (not required for MVP)",false,,"*Goal*
Design the first-time Remedy experience that sets clear expectations, builds trust, and explains safety boundaries before meaningful interaction begins.

*Context*
Users will arrive with assumptions shaped by ChatGPT and Google. If we do not explicitly frame Remedy’s role, we risk either overselling or confusing users.

*What needs to be designed*
 Design the first-time experience that explains:
• What Remedy can help with
• What it cannot do
• When it will escalate to human support
• How safety is handled: This should feel calm, clear, and confidence-building, not legalistic.
*Output*
 End-to-end first-time user flow and draft copy patterns.",,U0A8JDEKLJ2,"Long-term Discovery",L,
"In-line Navigation information display",,U0A9P5FFR4H,,,Done,true,,"*Description*
AI-generated responses may include phone numbers, URLs, email addresses, and physical addresses.
These should remain inline within the conversational text wherever possible, with clear, lightweight CTAs that allow users to take action (call, open link, email, open maps) without breaking conversational flow.
This is about enabling action while preserving a natural chat experience.

*Design requirements / cases to consider*
Inline-first vs elevation
• Entities remain embedded in text by default.
• Define when (if ever) an entity should be elevated beyond inline treatment.
Clear action affordances
• Phone → tap to call
• URL → handled to be gracefully displayed → tap to open
• Email → tap to compose
• Address → map?
Visual consistency
• Actionable entities are visually distinct from regular text.
• Avoid clutter when multiple entities appear in one response.
Emergency handling
• Emergency numbers visually differentiated from standard numbers.
Accessibility
• Adequate tap targets on mobile.
",,"U0A8JDEKLJ2, U0A9P5FFR4H",,S,
"Change the Entry Point Design for PCH app",High,U0A8JDEKLJ2,"MVP Specs:
https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy?node-id=1647-301358&t=CMUzRZPZYFpQTItC-11
Post MVP User flow:
https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy?node-id=2306-204726&t=CMUzRZPZYFpQTItC-11",U09BS66S47M,Done,true,2026-02-17,"*Requrirement:* 
1. Change the entry point UI (chatbox) to be on the ""Dashboard"" tab of PCH app design
2. changes will affect: 
    a. Branding (on the top bar)
    b. Bottom Nav differences. 
PCH App design figma
Context:
• Decision made to launch remedy on PCH app MVP. 
• The current entry point designs are based off of the SDM app design",,U0A8JDEKLJ2,v1.0,M,
"MVP experience for Sources and Verifiability (proprietary articles)",High,U0A8JDEKLJ2,"Component specs: 

https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy?node-id=1941-213221&t=kzTojTvdd7atQcI1-11

Post MVP Flow:

https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy?node-id=1611-48728&t=CMUzRZPZYFpQTItC-11",U09BS66S47M,Done,true,,"*Requirements:*
1. Changes needed for the citation inspector components. 
    a. If the response sends just a source and no hyperlink -> Then it should just show the source. User will not be able to click into the source
    b. If the response sends a source + hyperlink then current behavior remains (user can click -> opens up a page -> user can navigate back to the chat)
    c. Remove the ""grounding"" text -> with doctronic integration we will not be able to get the grounding text. 
Need these changes to be implemented on the designs.",,U0A8JDEKLJ2,v1.0,S,
"Table component",Medium,U08TNKBEB7W,"<@U0A8JDEKLJ2> this component is ready for review!

Link here.",U0AF7NL95PY,Done,true,,"Doctronic can create tables as part of their responses

We need to create a styled component",,U0A8JDEKLJ2,v1.1,S,
"Chat UI",High,U08TNKBEB7W,,U09BS66S47M,Done,true,,"Flow:
• User clicks input and views full screen chat
• User sends/receives messages",,,v1.0,M,
"Thumbs up/down experience",High,U08TNKBEB7W,"<@U08TNKBEB7W> Specs added",U0A7RFFSHK9,Done,true,,"We need a simple, unobtrusive feedback mechanism that encourages users to rate response quality without disrupting the chat flow.
This feedback will help improve Remedy’s performance over time and give users a sense that their input matters for system improvement.

*Design Requirements / Cases to Consider*
• Placement and timing of feedback prompts (per response vs. end of conversation)
• Visual treatment that doesn’t overwhelm the chat interface
• Follow-up actions after thumbs up/down selection
• Handling of feedback submission and confirmation
• Integration with existing chat UI components
Figma Link
Specifications",,U0A8JDEKLJ2,v1.0,S,
"Navigation refinement",High,U09BS66S47M,"Updated Wednesday Mar 11:

<@U0A9P5FFR4H> /<@U0A8JDEKLJ2> please review this veed

---

<@U0A9P5FFR4H> /<@U0A8JDEKLJ2> rfr: https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy-MVP?node-id=2807-102861&t=CMUzRZPZYFpQTItC-11",U09BS66S47M,Done,true,,"*Design Scope Changes for MVP*
• Map component completely removed for MVP
    ◦ Technical limitations with Google API integration through agent tech flow
    ◦ Complex user interaction logic with map expansion/minimization
    ◦ Will return in future iterations with backend infrastructure in place
• Toggle between list/map view eliminated
    ◦ Only list view will be available
    ◦ “8 recommendations” header and toggle removed entirely
*Simplified Card Design & Layout*
• Inline view shows 2-3 cards with “View more” or “See all results” CTA
• Full list view displays 10 locations by default (from 50 backend results)
• Card information includes:
    a. Display name with logo (SDM/LCL locations only)
    b. Address and “open now” indicator
    c. Location type (clinic, hospital, pharmacy from Google Maps)
    d. Distance from user (routing-based, not direct)
• Three CTAs per card:
    ◦ Directions (links to Google/Apple Maps)
    ◦ Phone dialer (if number available)
    ◦ Booking (SDM/LCL) or Website (others) - same URL field, different labels
• Cards non-expandable, no chevron navigation
• Consistent design between inline and full list views
*Filtering Approach (Optional for MVP)*
• Three potential filters if time permits:
    a. Distance range (5km, 10km options vs slider)
    b. Location type (based on Google Maps primary type)
    c. Opening hours (open now, 24hrs, weekends)",,,v1.0,S,
"Remedy on Web designs",Low,U09BS66S47M,,,Backlog,false,,"Remedy currently exists as a mobile-only experience within the iOS apps. We need to design and deliver a web version that maintains the core Remedy experience while adapting to desktop/browser contexts and interaction patterns.
The web experience should feel native to browser environments while preserving the conversational flow, personalization features, and core functionality that users expect from Remedy. This expansion will increase accessibility and reach for users who prefer desktop interactions for health guidance.

*Design Requirements / Cases to Consider*
• Responsive design across desktop, tablet, and mobile web viewports
• Web-specific interaction patterns (hover states, keyboard navigation, right-click contexts)
• Browser compatibility and progressive enhancement
• URL structure and deep linking capabilities
• Integration with existing web properties (PC Health web, Shoppers web)
• Session management and login state across web platforms
• Accessibility compliance for web standards (WCAG)
• Performance considerations for web chat interfaces
• Mobile web vs. native app experience differentiation",,,Backlog,,
"Remedy on Android designs",,U08TNKBEB7W,,,Backlog,false,,"Remedy currently exists as an iOS-only experience within PC Health and Shoppers Drug Mart apps. We need to design and deliver an Android version that maintains the core Remedy functionality while adapting to Material Design patterns, Android-specific interactions, and Google ecosystem integrations.
The Android experience should feel native to Android users while preserving the conversational flow, personalization features, and core health guidance capabilities. This expansion will significantly increase user reach across Canada's Android user base.

*Design Requirements / Cases to Consider*
• Material Design 3 compliance and Android design system integration
• Android-specific interaction patterns (navigation gestures, hardware back button)
• Android-specific permissions model (runtime permissions)",,,Backlog,,
"Remedy in SDM designs",,U08TNKBEB7W,"This will only be needed for the entry point - closing this ticket for now. When we design the long term entry point, we will need to consider the SDM branding.",,Done,true,,"Following the PC Health launch, Remedy needs to be adapted for the Shoppers Drug Mart brand and app ecosystem. This involves translating the core Remedy experience to align with Shoppers Drug Mart's visual identity, brand voice, and user expectations while maintaining feature parity and conversation continuity.

*Design Requirements / Cases to Consider*
• Shoppers Drug Mart visual brand system integration (colors, typography, iconography)
• Integration with existing Shoppers Drug Mart app navigation and information architecture
• Brand-appropriate entry point placement within Shoppers app ecosystem
• Shoppers-specific personalization opportunities (pharmacy history, loyalty program)
• Brand-appropriate error states, loading states, and empty states
",,,v1.0,,
"File upload",,U08TNKBEB7W,,,Backlog,false,,"Users often need to share visual information with healthcare providers: photos of symptoms, medication bottles, test results, or documents. Remedy currently only supports text-based conversations, limiting users' ability to get comprehensive guidance on visual health concerns.

We need to design a file upload experience that allows users to share images and relevant documents with Remedy while maintaining appropriate privacy, security, and medical guidance boundaries. This will enable more comprehensive health conversations and better support for visual health questions.

*Design Requirements / Cases to Consider*
• Chat UI: how uploads fit within chat interface
• Image capture vs. gallery selection vs. document upload flows
• File preview and confirmation before sending to Remedy
• Remedy's capability to analyze and respond to visual content appropriately
• Error handling for unsupported files, upload failures, etc
• Loading states and processing time communication for file analysis",,,Backlog,,
"Visual styling for V2",High,U08TNKBEB7W,,,"In progress",false,,"Update all V1.1 and V2.0 component documentation to reflect the new Ontario GA release visual design system. This includes documenting the approved visual redesign that moves away from the current flat design to a more modern aesthetic.

*Acceptance Criteria*
• All V1.1 components updated with new visual style documentation
• All V2.0 components updated with new visual style documentation
• Component specs reflect new design direction:
    ◦ Gradient backgrounds with glass effects
    ◦ Larger buttons with increased padding
    ◦ 3D icons matching existing app aesthetic
    ◦ Sans serif for UI elements
    ◦ Serif font (New York) for agent responses
• File structure and nomenclature documented for team consistency
• Design tokens/variables updated to reflect new visual system
• Component variations and states documented with new styling
*Scope Notes*
• *In scope:* V1.1 and V2.0 components only
• *Out of scope:* V1.0 internal release components
• Focus on documentation updates, not creating new components",,,v1.1,L,
